"X","tournament_id","team_id","team_name","group_name","played","wins","draws","losses","goals_for","goals_against","goal_difference","points","advanced","confederation_code","region_name","year","prior_tournaments","squad_size","avg_age","forward_share","defender_share","avg_career_tournaments","avg_prior_wc","max_prior_wc","debutant_share","yellows","reds","total_cards","is_host","foreign_manager"
100,"WC-1974","T-64","Scotland","Group 2",3,1,2,0,3,1,2,4,0,"UEFA","Europe",1974,2,22,26.3181818181818,0.227272727272727,0.363636363636364,1.40909090909091,0,0,1,3,0,3,0,0
101,"WC-1974","T-88","Zaire","Group 2",3,0,0,3,0,14,-14,0,0,"CAF","Africa",1974,0,22,26.0454545454545,0.227272727272727,0.272727272727273,1,0,0,1,2,1,3,0,1
102,"WC-1974","T-48","Netherlands","Group 3",3,2,1,0,6,1,5,5,1,"UEFA","Europe",1974,0,22,27.2272727272727,0.136363636363636,0.363636363636364,1.54545454545455,0,0,1,4,0,4,0,0
103,"WC-1974","T-74","Sweden","Group 3",3,1,2,0,3,0,3,4,1,"UEFA","Europe",1974,3,22,27.9545454545455,0.136363636363636,0.272727272727273,1.81818181818182,0.454545454545455,1,0.545454545454545,4,0,4,0,0
104,"WC-1974","T-10","Bulgaria","Group 3",3,0,2,1,2,5,-3,2,0,"UEFA","Europe",1974,3,22,26.0909090909091,0.318181818181818,0.272727272727273,1.5,0.5,3,0.681818181818182,3,0,3,0,0
105,"WC-1974","T-84","Uruguay","Group 3",3,0,1,2,1,6,-5,1,0,"CONMEBOL","South America",1974,6,22,26.8181818181818,0.227272727272727,0.363636363636364,1.54545454545455,0.545454545454545,3,0.681818181818182,5,1,6,0,0
106,"WC-1974","T-57","Poland","Group 4",3,3,0,0,12,3,9,6,1,"UEFA","Europe",1974,0,22,24.7727272727273,0.363636363636364,0.272727272727273,1.63636363636364,0,0,1,2,0,2,0,0
107,"WC-1974","T-03","Argentina","Group 4",3,1,1,1,7,5,2,3,1,"CONMEBOL","South America",1974,4,22,26.7727272727273,0.227272727272727,0.318181818181818,1.27272727272727,0.0454545454545455,1,0.954545454545455,5,0,5,0,0
108,"WC-1974","T-41","Italy","Group 4",3,1,1,1,5,4,1,3,0,"UEFA","Europe",1974,5,22,28.8636363636364,0.227272727272727,0.318181818181818,2.09090909090909,0.772727272727273,3,0.590909090909091,2,0,2,0,0
109,"WC-1974","T-34","Haiti","Group 4",3,0,0,3,2,14,-12,0,0,"CONCACAF","Caribbean",1974,0,22,26.2272727272727,0.227272727272727,0.363636363636364,1,0,0,1,3,0,3,0,0
110,"WC-1978","T-41","Italy","Group 1",3,3,0,0,6,2,4,6,1,"UEFA","Europe",1978,6,22,26.5454545454545,0.181818181818182,0.318181818181818,1.90909090909091,0.272727272727273,2,0.772727272727273,2,0,2,0,0
111,"WC-1978","T-03","Argentina","Group 1",3,2,0,1,4,3,1,4,1,"CONMEBOL","South America",1978,5,22,26.2727272727273,0.227272727272727,0.272727272727273,1.68181818181818,0.136363636363636,1,0.863636363636364,1,0,1,1,0
112,"WC-1978","T-30","France","Group 1",3,1,0,2,5,5,0,2,0,"UEFA","Europe",1978,4,22,26.4545454545455,0.181818181818182,0.318181818181818,1.63636363636364,0,0,1,3,0,3,0,0
113,"WC-1978","T-36","Hungary","Group 1",3,0,0,3,3,8,-5,0,0,"UEFA","Europe",1978,4,22,27.0454545454545,0.272727272727273,0.272727272727273,1.40909090909091,0,0,1,4,2,6,0,0
